,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000015133.17,5429,4800,5135,5944,5429,4978,8247,4250,7620
ENSG00000015153.13,602,1728,1276,1075,933,1179,788,1512,1193
ENSG00000015171.17,1571,350,1553,3187,2220,1653,1132,1725,2801
ENSG00000015285.9,6790,970,2676,4974,6101,1600,7163,2516,2913
ENSG00000015413.8,3,255,9,19,112,7,11,43,277
ENSG00000015475.17,2135,1268,1667,2977,1793,1133,2919,1207,3065
ENSG00000015479.16,488,1122,1727,958,908,1472,768,2718,1702
ENSG00000015520.13,5,8,14,15,12,25,15,27,4
ENSG00000015532.8,1876,1729,1247,1669,1218,1605,1306,1914,919
ENSG00000015568.11,1,9,3,0,4,3,1,1,8
ENSG00000015592.15,0,5,1,0,6,2,2,0,1
ENSG00000015676.16,3272,2572,1917,3272,1923,2393,2883,3029,2551
ENSG00000016082.13,0,2,0,1,0,0,1,1,0
ENSG00000016391.9,8,12,9,10,10,7,7,13,6
ENSG00000016402.11,0,2,0,0,1,0,1,1,2
ENSG00000016490.14,0,6,0,0,0,0,0,0,1
ENSG00000016602.9,1,18,3,0,3,4,2,2,3
ENSG00000016864.15,2088,978,954,2257,1093,1024,1112,1114,1221
ENSG00000017260.18,3055,7817,3839,5966,3371,3572,3141,3458,6676
ENSG00000017427.14,1,12,4,0,8,6,2,1,1
ENSG00000017483.13,1540,1046,421,1537,943,1124,483,775,1128
ENSG00000017797.10,3861,4441,1481,4421,2819,2432,2850,1662,3952
ENSG00000018189.11,821,6183,4363,2578,3466,3094,1244,1694,2060
ENSG00000018236.13,22,25,66,1,0,18,2,282,4
ENSG00000018280.15,4199,197,1829,2125,357,179,9874,48,718
ENSG00000018408.13,21,471,26,20,29,54,12,29,38
